time_s,measured_V,fitted_V,measured_C,fitted_C,model_covers_time
0.000000000000000000e+00,4.118900000000000006e+00,4.044503120379610905e+00,2.500000000000000000e+01,2.500000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,4.118900000000000006e+00,4.041652941121099296e+00,2.500000000000000000e+01,2.500297693370646357e+01,1.000000000000000000e+00
2.000000000000000000e+00,4.113955585374035273e+00,4.038900683558489746e+00,2.489999999999999858e+01,2.500594796624159244e+01,1.000000000000000000e+00
3.000000000000000000e+00,4.110272358269036808e+00,4.036261070401600648e+00,2.500000000000000000e+01,2.500891440801211729e+01,1.000000000000000000e+00
4.000000000000000000e+00,4.106696477692049818e+00,4.033737585922528623e+00,2.500000000000000000e+01,2.501187710977370671e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.103619959745052448e+00,4.031328400603289452e+00,2.500000000000000000e+01,2.501483666383495574e+01,1.000000000000000000e+00
6.000000000000000000e+00,4.101103186850050264e+00,4.029029092060536499e+00,2.489999999999999858e+01,2.501779349848760603e+01,1.000000000000000000e+00
7.000000000000000000e+00,4.098457497484066181e+00,4.026834092770864792e+00,2.500000000000000000e+01,2.502074793624120730e+01,1.000000000000000000e+00
8.000000000000000000e+00,4.096190405904058807e+00,4.024737604139271063e+00,2.500000000000000000e+01,2.502370023499747731e+01,1.000000000000000000e+00
9.000000000000000000e+00,4.094134015431063034e+00,4.022733947856820258e+00,2.489999999999999858e+01,2.502665060847459699e+01,1.000000000000000000e+00
1.000000000000000000e+01,4.092038007380073950e+00,4.020817615858653937e+00,2.500000000000000000e+01,2.502959923323260227e+01,1.000000000000000000e+00
1.100000000000000000e+01,4.090101107011070880e+00,4.018983343487703586e+00,2.500000000000000000e+01,2.503254625744682471e+01,1.000000000000000000e+00
1.200000000000000000e+01,4.088503824220060423e+00,4.017226137171142852e+00,2.500000000000000000e+01,2.503549180233522975e+01,1.000000000000000000e+00
1.300000000000000000e+01,4.086828581013083550e+00,4.015541348916662479e+00,2.500000000000000000e+01,2.503843597157379008e+01,1.000000000000000000e+00
1.400000000000000000e+01,4.085204461590071112e+00,4.013924673863941806e+00,2.489999999999999858e+01,2.504137885553336673e+01,1.000000000000000000e+00
1.500000000000000000e+01,4.083556055015096220e+00,4.012372108679361560e+00,2.489999999999999858e+01,2.504432052930059172e+01,1.000000000000000000e+00
1.600000000000000000e+01,4.081905098960080913e+00,4.010879972156338624e+00,2.500000000000000000e+01,2.504726106069875868e+01,1.000000000000000000e+00
1.700000000000000000e+01,4.080541361959074464e+00,4.009444838903815977e+00,2.489999999999999858e+01,2.505020050793393693e+01,1.000000000000000000e+00
1.800000000000000000e+01,4.079324589064071915e+00,4.008063535478479267e+00,2.500000000000000000e+01,2.505313892076316051e+01,1.000000000000000000e+00
1.900000000000000000e+01,4.078019792016101874e+00,4.006733113340643193e+00,2.500000000000000000e+01,2.505607634257370364e+01,1.000000000000000000e+00
2.000000000000000000e+01,4.076506373700100383e+00,4.005450829930214951e+00,2.500000000000000000e+01,2.505901281139853154e+01,1.000000000000000000e+00
2.100000000000000000e+01,4.075115800067091953e+00,4.004214195593692516e+00,2.500000000000000000e+01,2.506194835458705938e+01,1.000000000000000000e+00
2.200000000000000000e+01,4.073885608856088858e+00,4.003020802216068930e+00,2.500000000000000000e+01,2.506488300564001293e+01,1.000000000000000000e+00
2.300000000000000000e+01,4.072794397853069626e+00,4.001868543891818675e+00,2.500000000000000000e+01,2.506781678054341000e+01,1.000000000000000000e+00
2.400000000000000000e+01,4.071846628648104982e+00,4.000755398319437717e+00,2.500000000000000000e+01,2.507074969846104295e+01,1.000000000000000000e+00
2.500000000000000000e+01,4.070606373700100811e+00,3.999679454860880945e+00,2.500000000000000000e+01,2.507368177870966974e+01,1.000000000000000000e+00
2.600000000000000000e+01,4.069484971486078351e+00,3.998639040047488713e+00,2.500000000000000000e+01,2.507661302846992157e+01,1.000000000000000000e+00
2.700000000000000000e+01,4.068549178128145094e+00,3.997632441189041153e+00,2.500000000000000000e+01,2.507954346445200144e+01,1.000000000000000000e+00
2.800000000000000000e+01,4.067045353908084415e+00,3.996658197107675115e+00,2.500000000000000000e+01,2.508247309151784066e+01,1.000000000000000000e+00
2.900000000000000000e+01,4.066172827910097709e+00,3.995714876441824437e+00,2.500000000000000000e+01,2.508540191674472908e+01,1.000000000000000000e+00
3.000000000000000000e+01,4.065206373700100961e+00,3.994801123122129205e+00,2.489999999999999858e+01,2.508832994637947422e+01,1.000000000000000000e+00
3.100000000000000000e+01,4.064047903388124716e+00,3.993915722154861125e+00,2.500000000000000000e+01,2.509125718229466884e+01,1.000000000000000000e+00
3.200000000000000000e+01,4.063166118752096878e+00,3.993057414852378084e+00,2.500000000000000000e+01,2.509418362999326746e+01,1.000000000000000000e+00
3.300000000000000000e+01,4.062207011070110951e+00,3.992225157403427982e+00,2.500000000000000000e+01,2.509710928789576201e+01,1.000000000000000000e+00
3.400000000000000000e+01,4.061326501174103321e+00,3.991417954557808123e+00,2.500000000000000000e+01,2.510003415382448111e+01,1.000000000000000000e+00
3.500000000000000000e+01,4.060208923180140594e+00,3.990634857247710610e+00,2.500000000000000000e+01,2.510295822511892538e+01,1.000000000000000000e+00
3.600000000000000000e+01,4.059207648440120941e+00,3.989874795359912518e+00,2.500000000000000000e+01,2.510588150620560555e+01,1.000000000000000000e+00
3.700000000000000000e+01,4.058317074807111347e+00,3.989137033392891052e+00,2.500000000000000000e+01,2.510880398802459013e+01,1.000000000000000000e+00
3.800000000000000000e+01,4.057447266018114895e+00,3.988420805054604834e+00,2.500000000000000000e+01,2.511172566412824381e+01,1.000000000000000000e+00
3.900000000000000000e+01,4.056784971486078639e+00,3.987725344298712837e+00,2.500000000000000000e+01,2.511464652937530673e+01,1.000000000000000000e+00
4.000000000000000000e+01,4.055941831600134329e+00,3.987049768134448335e+00,2.500000000000000000e+01,2.511756658567281875e+01,1.000000000000000000e+00
4.100000000000000000e+01,4.055225226434082231e+00,3.986393508375410288e+00,2.500000000000000000e+01,2.512048582132160846e+01,1.000000000000000000e+00
4.200000000000000000e+01,4.054468030862127037e+00,3.985755942186524958e+00,2.500000000000000000e+01,2.512340422831260867e+01,1.000000000000000000e+00
4.300000000000000000e+01,4.053542468970143808e+00,3.985136430695649601e+00,2.500000000000000000e+01,2.512632180061609688e+01,1.000000000000000000e+00
4.400000000000000000e+01,4.052785608856088295e+00,3.984534286453514706e+00,2.500000000000000000e+01,2.512923853596686286e+01,1.000000000000000000e+00
4.500000000000000000e+01,4.051911472660181701e+00,3.983949019407655889e+00,2.500000000000000000e+01,2.513215442341618200e+01,1.000000000000000000e+00
4.600000000000000000e+01,4.051025863804092353e+00,3.983380107176049290e+00,2.500000000000000000e+01,2.513506945466781417e+01,1.000000000000000000e+00
4.700000000000000000e+01,4.050276652130157196e+00,3.982827016968948808e+00,2.500000000000000000e+01,2.513798362284666155e+01,1.000000000000000000e+00
4.800000000000000000e+01,4.049466118752096833e+00,3.982289216580475077e+00,2.500000000000000000e+01,2.514089692205328674e+01,1.000000000000000000e+00
4.900000000000000000e+01,4.048779369339148282e+00,3.981766272509616122e+00,2.500000000000000000e+01,2.514380934263931522e+01,1.000000000000000000e+00
5.000000000000000000e+01,4.048006373700100191e+00,3.981257744132713494e+00,2.500000000000000000e+01,2.514672087611921825e+01,1.000000000000000000e+00
5.100000000000000000e+01,4.047397584703119833e+00,3.980763185994088182e+00,2.500000000000000000e+01,2.514963151485920889e+01,1.000000000000000000e+00
5.200000000000000000e+01,4.046669942972156875e+00,3.980282170406515885e+00,2.500000000000000000e+01,2.515254125118565298e+01,1.000000000000000000e+00
5.300000000000000000e+01,4.045866756122106445e+00,3.979814320782309345e+00,2.500000000000000000e+01,2.515545007597080485e+01,1.000000000000000000e+00
5.400000000000000000e+01,4.045286883596109107e+00,3.979359264331635782e+00,2.500000000000000000e+01,2.515835798051347183e+01,1.000000000000000000e+00
5.500000000000000000e+01,4.044645018450184537e+00,3.978916621603468595e+00,2.500000000000000000e+01,2.516126495692299159e+01,1.000000000000000000e+00
5.600000000000000000e+01,4.043690707816169017e+00,3.978486036350546762e+00,2.500000000000000000e+01,2.516417099695269144e+01,1.000000000000000000e+00
5.700000000000000000e+01,4.042873633009057777e+00,3.978067183981138566e+00,2.500000000000000000e+01,2.516707609161147730e+01,1.000000000000000000e+00
5.800000000000000000e+01,4.042567393492117134e+00,3.977659745404977354e+00,2.500000000000000000e+01,2.516998023217860236e+01,1.000000000000000000e+00
5.900000000000000000e+01,4.041981281449177565e+00,3.977263391026972794e+00,2.500000000000000000e+01,2.517288341092472592e+01,1.000000000000000000e+00
6.000000000000000000e+01,4.041111472660181114e+00,3.976877818286792099e+00,2.500000000000000000e+01,2.517578561949204641e+01,1.000000000000000000e+00
6.100000000000000000e+01,4.040432405233143065e+00,3.976502744213155971e+00,2.500000000000000000e+01,2.517868684916481925e+01,1.000000000000000000e+00
6.200000000000000000e+01,4.039847903388124273e+00,3.976137891227922161e+00,2.500000000000000000e+01,2.518158709147712671e+01,1.000000000000000000e+00
6.300000000000000000e+01,4.039268030862126935e+00,3.975782970471693822e+00,2.500000000000000000e+01,2.518448633895491184e+01,1.000000000000000000e+00
6.400000000000000000e+01,4.038688158336128708e+00,3.975437721339070585e+00,2.500000000000000000e+01,2.518738458336338226e+01,1.000000000000000000e+00
6.500000000000000000e+01,4.038108285810131370e+00,3.975101893314092472e+00,2.500000000000000000e+01,2.519028181647456677e+01,1.000000000000000000e+00
6.600000000000000000e+01,4.037449815498154848e+00,3.974775241629346478e+00,2.519999999999999929e+01,2.519317803025393232e+01,1.000000000000000000e+00
