iteration,objective
0.000000000000000000e+00,3.285353904612750675e+00
1.000000000000000000e+00,2.822683905051710074e+00
2.000000000000000000e+00,2.349460184489571724e+00
3.000000000000000000e+00,2.349460184489571724e+00
4.000000000000000000e+00,2.349460184489571724e+00
5.000000000000000000e+00,2.349460184489571724e+00
6.000000000000000000e+00,2.349460184489571724e+00
7.000000000000000000e+00,2.091041653816763102e+00
8.000000000000000000e+00,2.091041653816763102e+00
9.000000000000000000e+00,2.016554303852224006e+00
1.000000000000000000e+01,2.016554303852224006e+00
1.100000000000000000e+01,2.016554303852224006e+00
1.200000000000000000e+01,2.016554303852224006e+00
1.300000000000000000e+01,2.016554303852224006e+00
1.400000000000000000e+01,1.950209754141160490e+00
1.500000000000000000e+01,1.884783391704875966e+00
1.600000000000000000e+01,1.884783391704875966e+00
1.700000000000000000e+01,1.884783391704875966e+00
1.800000000000000000e+01,1.878354168471323415e+00
1.900000000000000000e+01,1.878354168471323415e+00
2.000000000000000000e+01,1.878354168471323415e+00
2.100000000000000000e+01,1.878354168471323415e+00
2.200000000000000000e+01,1.878099558386541634e+00
2.300000000000000000e+01,1.877166324106925188e+00
2.400000000000000000e+01,1.869529120197355621e+00
2.500000000000000000e+01,1.869222718111198667e+00
2.600000000000000000e+01,1.865799739628686282e+00
2.700000000000000000e+01,1.864459420790301802e+00
2.800000000000000000e+01,1.861699081363695996e+00
2.900000000000000000e+01,1.859362982976235701e+00
3.000000000000000000e+01,1.859362982976235701e+00
3.100000000000000000e+01,1.859176458002862908e+00
3.200000000000000000e+01,1.859176458002862908e+00
3.300000000000000000e+01,1.859052711507042766e+00
3.400000000000000000e+01,1.858679526686718431e+00
3.500000000000000000e+01,1.858661260421671901e+00
