episode,reward,loss,epsilon,steps,soc_target_reached,numerical_failure,constraints_satisfied
1,-170.64183034087122,,0.4975,30,True,False,False
2,-200.50888516362744,,0.495,34,True,False,False
3,-194.86359724014042,,0.4925,31,True,False,False
4,-193.77722236639377,,0.49,33,True,False,False
5,-239.8437369363524,39.39789962768555,0.4875,38,True,False,False
6,-218.63271963790874,18.353878021240234,0.485,33,True,False,False
7,-156.27436040553107,9.970779418945312,0.4825,25,True,False,False
8,-156.30191368597056,5.262191295623779,0.48,26,True,False,False
9,-387.69791537596205,3.8204684257507324,0.4775,50,False,False,False
10,-288.9463471695383,5.0530829429626465,0.475,50,False,False,False
11,-313.00243901055035,2.928717613220215,0.4725,48,True,False,False
12,-353.84932397194075,3.1190288066864014,0.47,50,False,False,False
13,-328.3050268100808,2.667626142501831,0.4675,50,False,False,False
14,-2170.1796024938803,7677.54248046875,0.46499999999999997,26,False,True,False
15,-261.41202080702664,6991.16259765625,0.4625,50,False,False,False
16,-411.4143772399063,6414.259765625,0.46,50,False,False,False
17,-341.003027835921,5922.080078125,0.4575,50,False,False,False
18,-327.4105505927734,5497.1552734375,0.455,50,False,False,False
19,-336.97236616213644,5126.8154296875,0.4525,50,False,False,False
20,-340.12634375922556,4801.66650390625,0.45,50,False,False,False
21,-463.15185546151554,4514.5546875,0.4475,50,False,False,False
22,-397.0060149737127,4258.12841796875,0.445,50,False,False,False
23,-2148.825005556037,8342.1162109375,0.4425,26,False,True,False
24,-288.04677115015323,7960.037109375,0.44,43,True,False,False
25,-292.5165453809951,7558.6025390625,0.4375,50,False,False,False
26,-244.01717126690556,7254.9072265625,0.435,41,True,False,False
27,-218.57347051860648,6965.16748046875,0.4325,43,True,False,False
28,-2237.1475405618476,10237.794921875,0.43,26,False,True,False
29,-188.21549023648743,9927.6640625,0.4275,33,True,False,False
30,-168.94751388703875,9624.291015625,0.425,35,True,False,False
31,-335.8021099426268,9241.8896484375,0.4225,49,True,False,False
32,-343.26487092544124,8883.90625,0.42,50,True,False,False
33,-216.25459492673164,8640.580078125,0.4175,36,True,False,False
34,-2157.8593570930343,11327.607421875,0.415,21,False,True,False
35,-318.33130737986926,10915.6787109375,0.4125,50,False,False,False
36,-325.5975319022948,10532.87109375,0.41000000000000003,50,False,False,False
37,-2159.295841349787,12979.275390625,0.4075,19,False,True,False
38,-292.7836220726932,12617.1806640625,0.405,41,True,False,False
39,-282.4009749581324,12206.337890625,0.40249999999999997,50,False,False,False
40,-274.5445416362541,11850.4208984375,0.4,46,True,False,False
41,-271.5035807319672,11508.2861328125,0.3975,47,True,False,False
