time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,requested_current_A,interval_duration_s,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature,numerical_failure,failure_reason,failure_penalty
0.0,1,0.2999999999999999,0.1632993161855456,3.579989813911057,298.15,0.0,0.0,0.0,3.579989813911057,3.579989813911057,298.15,0.0,0.0,0.0,0.0,False,,0.0
0.0,2,0.4999999999999999,0.1632993161855456,3.7740358870091377,298.15,0.0,0.0,0.0,3.7740358870091377,3.7740358870091377,298.15,0.0,0.0,0.0,0.0,False,,0.0
0.0,3,0.7000000000000008,0.1632993161855456,3.963071966203608,298.15,0.0,0.0,0.0,3.963071966203608,3.963071966203608,298.15,0.0,0.0,0.0,0.0,False,,0.0
90.0,1,0.3205866312427777,0.16420872959316116,3.7182996460895685,298.28202665601015,3.5,3.5,90.0,3.699468067106256,3.7182996460895685,298.28202665601015,-0.75,-7.210436479658059,-0.0,-0.0,False,,0.0
90.0,2,0.5217808014005295,0.16420872959316116,3.9166250132644675,298.26685799311997,3.5,3.5,90.0,3.8959585797712046,3.9166250132644675,298.26685799311997,-0.75,-7.210436479658059,-0.0,-0.0,False,,0.0
90.0,3,0.7228142193491157,0.16420872959316116,4.11570120319427,298.25343814290244,3.5,3.5,90.0,4.091853519762746,4.11570120319427,298.25343814290244,-0.75,-7.210436479658059,-0.0,-0.0,False,,0.0
180.0,1,0.36175989372833256,0.1541762309198342,3.855054749989219,298.7505100864944,7.0,7.0,90.0,3.8241303220862655,3.855054749989219,298.7505100864944,-0.75,-6.708811545991711,-0.0,-0.0,False,,0.0
180.0,2,0.5373385166866219,0.1541762309198342,3.9022557440882997,298.3303832764533,2.5,2.5,90.0,3.8971447333178433,3.9022557440882997,298.3303832764533,-0.75,-6.708811545991711,-0.0,-0.0,False,,0.0
180.0,3,0.7391100903127696,0.1541762309198342,4.1041085491415235,298.3114217982972,2.5,2.5,90.0,4.097061011512679,4.1041085491415235,298.3114217982972,-0.75,-6.708811545991711,-0.0,-0.0,False,,0.0
270.0,1,0.4058741035342837,0.1488965803524203,3.917144613496762,299.28819101576823,7.5,7.5,90.0,3.891275027512936,3.917144613496762,299.28819101576823,-0.75,-6.444829017621015,-0.0,-0.0,False,,0.0
270.0,2,0.5528962319727143,0.1488965803524203,3.9141859675201855,298.3918815441422,2.5,2.5,90.0,3.9082618795765924,3.9141859675201855,298.3918815441422,-0.75,-6.444829017621015,-0.0,-0.0,False,,0.0
270.0,3,0.7684426580473446,0.1488965803524203,4.196340551445758,298.47940670801177,4.5,4.5,90.0,4.176303140255191,4.196340551445758,298.47940670801177,-0.75,-6.444829017621015,-0.0,-0.0,False,,0.0
360.0,1,0.4499883133402353,0.13269156850617153,3.964505926265576,299.81696009969227,7.5,7.5,90.0,3.941206316591538,3.964505926265576,299.81696009969227,-0.75,-5.634578425308576,-0.0,-0.0,False,,0.0
360.0,2,0.5528962319727141,0.13269156850617153,3.8259995011447367,298.387747181289,0.0,0.0,90.0,3.8320856221466895,3.8454171427614185,298.3918815441422,-0.75,-5.634578425308576,-0.0,-0.0,False,,0.0
