time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,requested_current_A,interval_duration_s,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature,numerical_failure,failure_reason,failure_penalty
0.0,1,0.2999999999999999,0.1632993161855456,3.579989813911057,298.15,0.0,0.0,0.0,3.579989813911057,3.579989813911057,298.15,0.0,0.0,0.0,0.0,False,,0.0
0.0,2,0.4999999999999999,0.1632993161855456,3.7740358870091377,298.15,0.0,0.0,0.0,3.7740358870091377,3.7740358870091377,298.15,0.0,0.0,0.0,0.0,False,,0.0
0.0,3,0.7000000000000008,0.1632993161855456,3.963071966203608,298.15,0.0,0.0,0.0,3.963071966203608,3.963071966203608,298.15,0.0,0.0,0.0,0.0,False,,0.0
90.0,1,0.3205866312427777,0.16420872959316116,3.7182996460895685,298.28202665601015,3.5,3.5,90.0,3.699468067106256,3.7182996460895685,298.28202665601015,-0.75,-7.210436479658059,-0.0,-0.0,False,,0.0
90.0,2,0.5217808014005295,0.16420872959316116,3.9166250132644675,298.26685799311997,3.5,3.5,90.0,3.8959585797712046,3.9166250132644675,298.26685799311997,-0.75,-7.210436479658059,-0.0,-0.0,False,,0.0
90.0,3,0.7228142193491157,0.16420872959316116,4.11570120319427,298.25343814290244,3.5,3.5,90.0,4.091853519762746,4.11570120319427,298.25343814290244,-0.75,-7.210436479658059,-0.0,-0.0,False,,0.0
180.0,1,0.3411732624855551,0.16252061537354429,3.7406543374706676,298.41673338586895,3.5,3.5,90.0,3.730003116026725,3.7406543374706676,298.41673338586895,-0.75,-7.126030768677214,-0.0,-0.0,False,,0.0
180.0,2,0.549784688915496,0.16252061537354429,3.9721755743249716,298.45669569702443,4.5,4.5,90.0,3.9568253654944106,3.9721755743249716,298.45669569702443,-0.75,-7.126030768677214,-0.0,-0.0,False,,0.0
180.0,3,0.7391100903127696,0.16252061537354429,4.1041085491415235,298.3114217982972,2.5,2.5,90.0,4.097061011512679,4.1041085491415235,298.3114217982972,-0.75,-7.126030768677214,-0.0,-0.0,False,,0.0
270.0,1,0.3617598937283328,0.16096015850914827,3.7591739969542664,298.54864414237056,3.5,3.5,90.0,3.750092431361932,3.7591739969542664,298.54864414237056,-0.75,-7.048007925457414,-0.0,-0.0,False,,0.0
270.0,2,0.5777885764304626,0.16096015850914827,3.994906334331676,298.6453630164801,4.5,4.5,90.0,3.983785013652492,3.994906334331676,298.6453630164801,-0.75,-7.048007925457414,-0.0,-0.0,False,,0.0
270.0,3,0.7554059612764231,0.16096015850914827,4.120254800984888,298.36851631558415,2.5,2.5,90.0,4.112234511245041,4.120254800984888,298.36851631558415,-0.75,-7.048007925457414,-0.0,-0.0,False,,0.0
360.0,1,0.38234652497111027,0.1620614959976037,3.7763164706598706,298.6776674188084,3.5,3.5,90.0,3.767795572870002,3.7763164706598706,298.6776674188084,-0.75,-7.1030747998801855,-0.0,-0.0,False,,0.0
360.0,2,0.6057924639454293,0.1620614959976037,4.0177003164723875,298.83063490638415,4.5,4.5,90.0,4.006060821775216,4.0177003164723875,298.83063490638415,-0.75,-7.1030747998801855,-0.0,-0.0,False,,0.0
