phase,algorithm,variant,soc_set,seed,episodes,target_update,beta,max_temperature_k,sample_time_s,time_penalty,balance_scale,voltage_scale,temperature_scale,n_cells,initialization_mode,cell_parameter_file,review_items,implementation_status,required_for_resubmission,replicate_unit,run_order,run_id,command
provenance,qmix,legacy_declared,A,17,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,1,SUP-001,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set A --seed 17 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_a_seed_17"""
provenance,qmix,legacy_declared,A,71,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,2,SUP-002,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set A --seed 71 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_a_seed_71"""
confirmatory,proportional,full,A,71,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,3,SUP-003,
ablation,qmix,qmix_no_balance,B,7,1200,50,0.02,309.0,90,-0.75,0.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,4,SUP-004,
confirmatory,per_cell_cccv,full,A,43,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,5,SUP-005,
confirmatory,proportional,full,B,17,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,6,SUP-006,
confirmatory,vdn,full,A,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,7,SUP-007,
ablation,qmix,qmix_no_safety,B,17,1200,50,0.02,309.0,90,-0.75,-50.0,0.0,0.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,8,SUP-008,
provenance,qmix,legacy_declared,B,17,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,9,SUP-009,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set B --seed 17 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_b_seed_17"""
confirmatory,proportional,full,B,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,10,SUP-010,
confirmatory,per_cell_cccv,full,B,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,11,SUP-011,
confirmatory,qmix,full,A,71,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,12,SUP-012,
confirmatory,vdn,full,B,71,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,13,SUP-013,
confirmatory,per_cell_cccv,full,A,17,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,14,SUP-014,
temperature_sensitivity,qmix,tmax_312,B,29,1200,50,0.02,312.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,15,SUP-015,
confirmatory,vdn,full,A,17,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,16,SUP-016,
confirmatory,per_cell_cccv,full,A,71,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,17,SUP-017,
confirmatory,per_cell_cccv,full,A,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,18,SUP-018,
confirmatory,dql,full,A,17,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,19,SUP-019,
ablation,qmix,qmix_no_balance,B,17,1200,50,0.02,309.0,90,-0.75,0.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,20,SUP-020,
temperature_sensitivity,qmix,tmax_306,B,17,1200,50,0.02,306.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,21,SUP-021,
temperature_sensitivity,qmix,tmax_312,B,71,1200,50,0.02,312.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,22,SUP-022,
ablation,qmix,qmix_no_balance,A,43,1200,50,0.02,309.0,90,-0.75,0.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,23,SUP-023,
confirmatory,per_cell_cccv,full,B,17,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,24,SUP-024,
confirmatory,vdn,full,B,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,25,SUP-025,
confirmatory,per_cell_cccv,full,B,43,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,26,SUP-026,
temperature_sensitivity,qmix,tmax_312,A,7,1200,50,0.02,312.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,27,SUP-027,
temperature_sensitivity,qmix,tmax_312,B,7,1200,50,0.02,312.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,28,SUP-028,
ablation,qmix,qmix_no_time,B,43,1200,50,0.02,309.0,90,0.0,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,29,SUP-029,
