time_s,voltage_V,temperature_C
0.0,4.1232,24.9
1.0,4.1232,24.9
2.0,4.1176,24.9
3.0,4.1136,24.9
4.0,4.1102,24.9
5.0,4.1074,24.7
6.0,4.1046,24.9
7.0,4.1021,24.9
8.0,4.1,24.9
9.0,4.0981,24.7
10.0,4.0959,24.9
11.0,4.0944,24.9
12.0,4.0925,24.9
13.0,4.0913,24.9
14.0,4.0891,24.9
15.0,4.0879,24.9
16.0,4.0863,24.9
17.0,4.0848,24.9
18.0,4.0838,24.9
19.0,4.0823,24.9
20.0,4.0811,24.9
21.0,4.0798,24.9
22.0,4.0786,24.9
23.0,4.0776,24.9
24.0,4.0764,24.9
25.0,4.0755,24.9
26.0,4.0742,24.9
27.0,4.0727,24.9
28.0,4.0718,24.9
29.0,4.0708,24.9
30.0,4.0696,24.9
31.0,4.0687,24.9
32.0,4.068,24.9
33.0,4.0668,24.9
34.0,4.0662,24.9
35.0,4.0649,24.7
36.0,4.064,24.9
37.0,4.0631,24.9
38.0,4.0625,24.9
39.0,4.0615,24.9
40.0,4.0606,24.9
41.0,4.06,24.9
42.0,4.059,24.9
43.0,4.0584,24.9
44.0,4.0572,24.9
45.0,4.0566,24.9
46.0,4.0556,24.9
47.0,4.055,24.9
48.0,4.0541,24.9
49.0,4.0535,24.9
50.0,4.0525,24.9
51.0,4.0519,24.9
52.0,4.0513,24.9
53.0,4.0507,24.9
54.0,4.0494,24.9
55.0,4.0488,24.9
56.0,4.0482,24.9
57.0,4.0476,24.7
58.0,4.0469,24.9
59.0,4.0463,24.9
60.0,4.0457,24.9
61.0,4.0451,24.9
62.0,4.0442,24.9
63.0,4.0438,24.9
64.0,4.0432,24.9
65.0,4.0426,24.9
66.0,4.0417,25.0
67.0,4.0411,24.9
68.0,4.0404,24.9
69.0,4.0398,25.0
70.0,4.0395,24.9
71.0,4.0389,25.0
72.0,4.0383,25.0
73.0,4.038,24.9
74.0,4.0373,24.9
75.0,4.0367,24.9
76.0,4.0364,25.0
77.0,4.0358,24.9
78.0,4.0352,25.0
79.0,4.0349,24.9
80.0,4.0339,25.0
81.0,4.0333,25.0
82.0,4.033,24.9
83.0,4.0324,25.0
84.0,4.0318,25.0
85.0,4.0314,24.9
86.0,4.0311,25.0
87.0,4.0305,25.0
88.0,4.0302,25.0
89.0,4.0296,25.0
90.0,4.0293,25.0
91.0,4.0287,25.0
92.0,4.0283,25.0
93.0,4.0277,24.9
94.0,4.0274,25.0
95.0,4.0268,24.9
96.0,4.0259,25.2
97.0,4.0256,25.0
98.0,4.0252,25.0
