episode,reward,loss,epsilon,steps,target_reached
1,-197.19197918831392,,0.48333333333333334,40,True
2,-128.36854087765505,22.8179931640625,0.4666666666666667,32,True
3,-153.60150122361,9.261090278625488,0.45,35,True
4,-167.24428091944054,5.090343475341797,0.43333333333333335,36,True
5,-226.60738950850373,2.568701982498169,0.4166666666666667,50,False
6,-258.18083375246215,1.9671276807785034,0.4,50,False
7,-125.10742505768775,2.4807217121124268,0.3833333333333333,40,True
8,-218.6654386271573,1.3457401990890503,0.3666666666666667,50,False
9,-117.98373073129555,1.502885341644287,0.35,37,True
10,-192.52992188383004,1.146801471710205,0.33333333333333337,50,False
11,-139.10188958760497,1.093927025794983,0.31666666666666665,35,True
12,-152.44723399871,0.9809321165084839,0.3,45,True
13,-234.88225076187462,0.8638918399810791,0.2833333333333333,50,True
14,-185.25988413632896,0.8930349946022034,0.26666666666666666,50,False
15,-173.05351338476265,0.7300623059272766,0.25,44,True
16,-194.1650602202248,0.9525012969970703,0.23333333333333334,50,False
17,-113.96922113559567,0.8296129107475281,0.21666666666666667,41,True
18,-169.62194481028274,0.8545310497283936,0.2,50,False
19,-129.2695212265442,0.7876707911491394,0.18333333333333335,43,True
20,-154.76498275046276,0.7570866346359253,0.16666666666666669,48,True
21,-121.21147328270368,0.7544931769371033,0.15000000000000002,47,True
22,-164.81174643914096,0.7096577286720276,0.13333333333333336,50,False
23,-119.38130225847328,0.7383748888969421,0.11666666666666664,50,False
24,-160.3227636365471,0.6756290793418884,0.09999999999999998,50,False
25,-123.4479926802362,0.6892675757408142,0.08333333333333331,37,True
26,-199.0166039219449,0.7322280406951904,0.06666666666666665,50,False
27,-84.47149485915912,0.7172015309333801,0.04999999999999999,33,True
28,-104.71129750671561,0.6843504309654236,0.033333333333333326,38,True
29,-137.1644151497102,0.7091456055641174,0.016666666666666663,50,False
30,-316.54097736127005,1.1170371770858765,0.0,50,False
