iteration,best_objective,solver_failures,evaluations
0,1.5528005742867372,0,20
1,1.096737330013246,0,40
2,0.8821370969717336,0,60
3,0.8759528997651688,0,80
4,0.8495125494025764,0,100
5,0.8495125494025764,0,120
6,0.8495125494025764,0,140
7,0.8495125494025764,0,160
8,0.8495125494025764,0,180
9,0.8495125494025764,0,200
10,0.8495125494025764,0,220
11,0.8495125494025764,0,240
12,0.8495125494025764,0,260
13,0.8495125494025764,0,280
14,0.787418163412075,0,300
15,0.7683447241577467,0,320
16,0.7683447241577467,0,340
17,0.7675898891180408,0,360
18,0.7675898891180408,0,380
19,0.7675898891180408,0,400
20,0.7675898891180408,0,420
21,0.7675898891180408,0,440
22,0.7614534458588368,0,460
23,0.7525292526294245,0,480
24,0.7473202750399222,0,500
25,0.7419962249539542,0,520
26,0.7419962249539542,0,540
27,0.7406367209448536,0,560
28,0.7406367209448536,0,580
29,0.7381879850203219,0,600
30,0.7381879850203219,0,620
31,0.7381879850203219,0,640
32,0.7380821713403461,0,660
33,0.7334246908489164,0,680
34,0.7334246908489164,0,700
35,0.7331828007889174,0,720
36,0.7282420052469749,0,740
37,0.7262779252912255,0,760
38,0.7242502643251989,0,780
39,0.7209171477019674,0,800
40,0.7182236901991101,0,820
41,0.716090308686356,0,840
42,0.7141059339984602,0,860
43,0.7118771350963717,0,880
44,0.7101224188415662,0,900
45,0.7094186623051297,0,920
46,0.7077609095692565,0,940
47,0.707075917635291,0,960
48,0.7064264790219075,0,980
49,0.7051713368768883,0,1000
50,0.7048542265363187,0,1020
