time_s,measured_voltage_V,predicted_voltage_V,measured_temperature_C,predicted_temperature_C,covered,split,prediction_kind
0.0,4.1189,4.0445709134995,25.0,25.0,True,prefix,numerical_precision_check
1.0,4.1189,4.041718370322423,25.0,25.003051045688835,True,prefix,numerical_precision_check
2.0,4.113955585374035,4.038968192656867,24.9,25.006095941257968,True,prefix,numerical_precision_check
3.0,4.110272358269037,4.036333329259413,25.0,25.009136012328213,True,prefix,numerical_precision_check
4.0,4.10669647769205,4.033816395220487,25.0,25.01217212957573,True,prefix,numerical_precision_check
5.0,4.1036199597450524,4.031415005109188,25.0,25.015204900425772,True,prefix,numerical_precision_check
6.0,4.10110318685005,4.029124448870741,24.9,25.01823477119575,True,prefix,numerical_precision_check
7.0,4.098457497484066,4.026939037096868,25.0,25.021262083922636,True,prefix,numerical_precision_check
8.0,4.096190405904059,4.024852782246589,25.0,25.024287109342424,True,prefix,numerical_precision_check
9.0,4.094134015431063,4.022859747482183,24.9,25.027310067095982,True,prefix,numerical_precision_check
10.0,4.092038007380074,4.0209542209045654,25.0,25.03033113863802,True,prefix,numerical_precision_check
11.0,4.090101107011071,4.019130799293161,25.0,25.0333504759667,True,prefix,numerical_precision_check
12.0,4.08850382422006,4.017384419953968,25.0,25.03636820761443,True,prefix,numerical_precision_check
13.0,4.0868285810130836,4.015710367712636,25.0,25.039384443076244,True,prefix,numerical_precision_check
14.0,4.085204461590071,4.014104267289763,24.9,25.042399276146625,True,prefix,numerical_precision_check
15.0,4.083556055015096,4.012562067108113,24.9,25.04541278744415,True,prefix,numerical_precision_check
16.0,4.081905098960081,4.011080020083243,25.0,25.048425046435057,True,prefix,numerical_precision_check
17.0,4.0805413619590745,4.009654662610943,24.9,25.051436113044986,True,prefix,numerical_precision_check
18.0,4.079324589064072,4.00828279346827,25.0,25.054446038980245,True,prefix,numerical_precision_check
19.0,4.078019792016102,4.00696145330993,25.0,25.05745486883268,True,prefix,numerical_precision_check
20.0,4.0765063737001,4.005687905075298,25.0,25.06046264099274,True,prefix,numerical_precision_check
21.0,4.075115800067092,4.004459615637819,25.0,25.063469388402893,True,prefix,numerical_precision_check
22.0,4.073885608856089,4.003274238782716,25.0,25.066475139229397,True,prefix,numerical_precision_check
23.0,4.07279439785307,4.002129599447705,25.0,25.069479917434023,True,prefix,numerical_precision_check
24.0,4.071846628648105,4.001023679190808,25.0,25.072483743259852,True,prefix,numerical_precision_check
25.0,4.070606373700101,3.9999546029270587,25.0,25.075486633649973,True,prefix,numerical_precision_check
26.0,4.069484971486078,3.9989206268938657,25.0,25.07848860261197,True,prefix,numerical_precision_check
27.0,4.068549178128145,3.997920127435905,25.0,25.081489661555736,True,prefix,numerical_precision_check
28.0,4.067045353908084,3.996951590838863,25.0,25.084489819583496,True,prefix,numerical_precision_check
29.0,4.066172827910098,3.996013604248142,25.0,25.087489083730702,True,prefix,numerical_precision_check
30.0,4.065206373700101,3.995104847346363,24.9,25.09048745918585,True,prefix,numerical_precision_check
31.0,4.064047903388125,3.99422408467655,25.0,25.093484949491994,True,prefix,numerical_precision_check
32.0,4.063166118752097,3.9933701589004924,25.0,25.09648155670908,True,prefix,numerical_precision_check
33.0,4.062207011070111,3.9925419843549075,25.0,25.09947728158545,True,prefix,numerical_precision_check
34.0,4.061326501174103,3.991738541279445,25.0,25.102472123700466,True,prefix,numerical_precision_check
35.0,4.060208923180141,3.9909588706358643,25.0,25.105466081587338,True,prefix,numerical_precision_check
36.0,4.059207648440121,3.9902020692807123,25.0,25.10845915284972,True,prefix,numerical_precision_check
37.0,4.058317074807111,3.989467285766536,25.0,25.11145133425356,True,prefix,numerical_precision_check
38.0,4.057447266018115,3.9887537163571904,25.0,25.114442621822434,True,prefix,numerical_precision_check
39.0,4.056784971486079,3.988060601400306,25.0,25.117433010921843,True,prefix,numerical_precision_check
40.0,4.055941831600134,3.9873872220528073,25.0,25.120422496333163,True,prefix,numerical_precision_check
41.0,4.055225226434082,3.9867328972216844,25.0,25.12341107232419,True,prefix,numerical_precision_check
42.0,4.054468030862127,3.9860969808896742,25.0,25.126398732705468,True,prefix,numerical_precision_check
43.0,4.053542468970144,3.9854788595781474,25.0,25.12938547088737,True,prefix,numerical_precision_check
44.0,4.052785608856088,3.9848779500421236,25.0,25.132371279930283,True,prefix,numerical_precision_check
45.0,4.051911472660182,3.984293697169705,25.0,25.135356152590134,True,prefix,numerical_precision_check
46.0,4.051025863804092,3.9837255720157336,25.0,25.138340081361832,True,prefix,numerical_precision_check
