iteration,best_objective,solver_failures,evaluations
0,8.109304968374694,0,20
1,5.733432924604623,0,40
2,3.2839423724647765,0,60
3,3.2839423724647765,0,80
4,3.2839423724647765,0,100
5,3.2839423724647765,0,120
6,3.2839423724647765,0,140
7,3.2839423724647765,0,160
8,3.2839423724647765,0,180
9,3.2839423724647765,0,200
10,2.9264233660764285,0,220
11,2.484091466075857,0,240
12,2.484091466075857,0,260
13,2.484091466075857,0,280
14,2.484091466075857,0,300
15,2.484091466075857,0,320
16,2.484091466075857,0,340
17,2.484091466075857,0,360
18,2.3312399639084767,0,380
19,2.3312399639084767,0,400
20,2.2410758720074404,0,420
21,2.1737029092468187,0,440
22,2.1737029092468187,0,460
23,2.0678155659724875,0,480
24,2.0678155659724875,0,500
25,2.0678155659724875,0,520
26,1.9500119417275101,0,540
27,1.9500119417275101,0,560
28,1.9500119417275101,0,580
29,1.9470390687480625,0,600
30,1.9470390687480625,0,620
31,1.9301036482333496,0,640
32,1.9301036482333496,0,660
33,1.9238303335187008,0,680
34,1.9163047934143922,0,700
35,1.9090147152702643,0,720
36,1.9073906607373934,0,740
37,1.9073906607373934,0,760
38,1.9018901756739695,0,780
39,1.9016496297788885,0,800
40,1.900755915609663,0,820
41,1.9003426073641365,0,840
42,1.8990510469982376,0,860
43,1.897667942399306,0,880
44,1.8974782148746026,0,900
45,1.8974782148746026,0,920
46,1.8970565272666715,0,940
47,1.8964833533340464,0,960
48,1.8961729263689646,0,980
49,1.8958195039716554,0,1000
50,1.895573693299831,0,1020
