time_s,measured_voltage_V,predicted_voltage_V,measured_temperature_C,predicted_temperature_C,covered,split,prediction_kind
0.0,4.1145,4.038478173396145,24.8,24.80000000000001,True,prefix,numerical_precision_check
1.0,4.1145,4.033224121268441,24.8,24.802369907998184,True,prefix,numerical_precision_check
2.0,4.1083,4.0287528886626,24.8,24.804733972148938,True,prefix,numerical_precision_check
3.0,4.1037,4.024938196116615,24.8,24.807094243783297,True,prefix,numerical_precision_check
4.0,4.0997,4.021627920050145,24.7,24.809451575867172,True,prefix,numerical_precision_check
5.0,4.0966,4.018706719898264,24.8,24.811806473047625,True,prefix,numerical_precision_check
6.0,4.0935,4.016090797655396,24.8,24.814159283829838,True,prefix,numerical_precision_check
7.0,4.0907,4.01371911113927,24.8,24.81651026901187,True,prefix,numerical_precision_check
8.0,4.0882,4.011546611161611,24.9,24.81885963333957,True,prefix,numerical_precision_check
9.0,4.086,4.009539509002577,24.7,24.821207542543107,True,prefix,numerical_precision_check
10.0,4.0838,4.007672032791342,24.8,24.823554133532127,True,prefix,numerical_precision_check
11.0,4.0817,4.005924189144983,24.8,24.825899521074007,True,prefix,numerical_precision_check
12.0,4.0801,4.004280216590038,24.7,24.8282438023532,True,prefix,numerical_precision_check
13.0,4.0783,4.002727491177678,24.7,24.830587060308005,True,prefix,numerical_precision_check
14.0,4.0767,4.001255763387098,24.8,24.832929366067788,True,prefix,numerical_precision_check
15.0,4.0749,3.9998566009056957,24.7,24.835270780867006,True,prefix,numerical_precision_check
16.0,4.0733,3.9985229765719357,24.7,24.837611357573337,True,prefix,numerical_precision_check
17.0,4.0718,3.9972489709386867,24.7,24.839951141885194,True,prefix,numerical_precision_check
18.0,4.0705,3.9960295460017132,24.7,24.842290173326433,True,prefix,numerical_precision_check
19.0,4.069,3.9948603727528584,24.7,24.844628486070008,True,prefix,numerical_precision_check
20.0,4.0674,3.9937377005103727,24.7,24.846966109619245,True,prefix,numerical_precision_check
21.0,4.0662,3.992658253499952,24.8,24.84930306939185,True,prefix,numerical_precision_check
22.0,4.0649,3.9916191484979158,24.8,24.85163938722434,True,prefix,numerical_precision_check
23.0,4.0637,3.9906178320825667,24.7,24.85397508178903,True,prefix,numerical_precision_check
24.0,4.0625,3.9896520300855727,24.7,24.856310168954508,True,prefix,numerical_precision_check
25.0,4.0612,3.988719705396799,24.8,24.858644662104894,True,prefix,numerical_precision_check
26.0,4.0597,3.987819022710282,24.9,24.86097857242396,True,prefix,numerical_precision_check
27.0,4.0587,3.986948320462771,24.8,24.86331190913876,True,prefix,numerical_precision_check
28.0,4.0578,3.9861060881787775,24.8,24.865644679729826,True,prefix,numerical_precision_check
29.0,4.0566,3.9852909473386884,24.7,24.86797689011553,True,prefix,numerical_precision_check
30.0,4.0559,3.984501634374529,25.0,24.870308544825207,True,prefix,numerical_precision_check
31.0,4.0547,3.983736987556016,24.9,24.872639647137532,True,prefix,numerical_precision_check
32.0,4.0538,3.9829959327168556,24.9,24.874970199246604,True,prefix,numerical_precision_check
33.0,4.0528,3.9822774760214954,24.9,24.877300202343577,True,prefix,numerical_precision_check
34.0,4.0516,3.981580695173664,24.9,24.879629656722955,True,prefix,numerical_precision_check
35.0,4.0507,3.980904730527012,24.8,24.88195856189691,True,prefix,numerical_precision_check
36.0,4.0497,3.9802487803500313,24.9,24.884286916654446,True,prefix,numerical_precision_check
37.0,4.0488,3.979612093925617,24.9,24.88661471915259,True,prefix,numerical_precision_check
38.0,4.0479,3.978993966666012,24.8,24.888941966987034,True,prefix,numerical_precision_check
39.0,4.0473,3.9783937355893877,24.7,24.891268657256262,True,prefix,numerical_precision_check
40.0,4.0463,3.977810776104968,24.8,24.89359478660839,True,prefix,numerical_precision_check
41.0,4.0454,3.977244498388083,24.7,24.895920351295956,True,prefix,numerical_precision_check
42.0,4.0448,3.9766943442802347,24.9,24.898245347225327,True,prefix,numerical_precision_check
43.0,4.0435,3.9761597850259207,24.9,24.900569769988635,True,prefix,numerical_precision_check
