current_A_assumption,cell,model_evaluation,segment,V_RMSE,V_bias,T_RMSE,T_bias,coverage_fraction,full_coverage
4.0,1,SPMe_full_fit,full,0.019805445596189453,-0.0041190029016647065,0.4032152791470648,-0.02172804331824546,0.999664654594232,False
4.0,1,SPMe_full_fit,early_0_20pct,0.034835340337765815,-0.030774071516269073,0.17159677261835907,-0.027225496645195153,1.0,True
4.0,1,SPMe_full_fit,middle_20_80pct,0.014053444098975134,0.0008174128423026995,0.3390562434406214,0.03963158128850009,1.0,True
4.0,1,SPMe_full_fit,late_80_100pct,0.012405709913200946,0.00777154175052503,0.6624298680449175,-0.20030023989655432,0.998324958123953,False
4.0,1,SPMe_full_fit,prefix_fit,0.02125603913637314,-0.0070903926763838205,0.30586569627822036,0.02289628756673235,1.0,True
4.0,1,SPMe_full_fit,suffix_forecast,0.012405709913200946,0.00777154175052503,0.6624298680449175,-0.20030023989655432,0.998324958123953,False
4.0,1,SPMe_prefix_forecast,full,0.0786073595997235,-0.028291642465023872,0.3050094139427048,-0.06689198919829531,0.9396378269617707,False
4.0,1,SPMe_prefix_forecast,early_0_20pct,0.03248312262567922,-0.0266463412431984,0.2001461533951749,0.16187001075569993,1.0,True
4.0,1,SPMe_prefix_forecast,middle_20_80pct,0.010555264379981525,0.002279822126858595,0.1349168312512836,-0.02387176001561687,1.0,True
4.0,1,SPMe_prefix_forecast,late_80_100pct,0.19882600135472667,-0.161730547788083,0.699796244312138,-0.5788610149804636,0.6984924623115578,False
4.0,1,SPMe_prefix_forecast,prefix_fit,0.018645248508718175,-0.00496081499344498,0.15386164931612398,0.022622092039090106,1.0,True
4.0,1,SPMe_prefix_forecast,suffix_forecast,0.19882600135472667,-0.161730547788083,0.699796244312138,-0.5788610149804636,0.6984924623115578,False
4.0,1,SPM_same_parameters,full,0.02728670449041692,0.019487157886816382,0.9081200155922791,-0.7422120443721224,1.0,True
4.0,1,SPM_same_parameters,early_0_20pct,0.01804271505041338,-0.006557525315463274,0.31848429930867406,-0.1903604774518944,1.0,True
4.0,1,SPM_same_parameters,middle_20_80pct,0.02818200452329276,0.024549695912947946,0.7145409568331547,-0.7007058600753155,1.0,True
4.0,1,SPM_same_parameters,late_80_100pct,0.03185678985625952,0.030369666900279892,1.577559117594223,-1.418373590392335,1.0,True
4.0,1,SPM_same_parameters,prefix_fit,0.026017427627171862,0.01676310846080476,0.6388708689433052,-0.5729590284500818,1.0,True
4.0,1,SPM_same_parameters,suffix_forecast,0.03185678985625952,0.030369666900279892,1.577559117594223,-1.418373590392335,1.0,True
4.0,2,SPMe_full_fit,full,0.02198113241513206,-0.005258216636797755,0.3402653394325916,-0.021075217549026994,1.0,True
4.0,2,SPMe_full_fit,early_0_20pct,0.0395958463499723,-0.03531335334951717,0.17071229963566392,-0.007705685022592124,1.0,True
4.0,2,SPMe_full_fit,middle_20_80pct,0.01429158519421726,0.004437115331243344,0.33041931388952744,0.008756759673376632,1.0,True
4.0,2,SPMe_full_fit,late_80_100pct,0.015306176543282974,-0.004254572867461274,0.47138683434830636,-0.1238345181226642,1.0,True
4.0,2,SPMe_full_fit,prefix_fit,0.0233548362307691,-0.005509351008288006,0.2985808893668411,0.0046374836630763494,1.0,True
4.0,2,SPMe_full_fit,suffix_forecast,0.015306176543282974,-0.004254572867461274,0.47138683434830636,-0.1238345181226642,1.0,True
4.0,2,SPMe_prefix_forecast,full,0.06537492059264659,-0.025468582409299056,0.35790071679491514,-0.0951106427212077,0.9647435897435898,False
4.0,2,SPMe_prefix_forecast,early_0_20pct,0.03952300318445228,-0.0347847463962678,0.21343448058255293,0.1710023761338607,1.0,True
4.0,2,SPMe_prefix_forecast,middle_20_80pct,0.011485781879306255,0.002441377662398927,0.15808412522983595,-0.024213285277657946,1.0,True
4.0,2,SPMe_prefix_forecast,late_80_100pct,0.15043422276170856,-0.11567309342455381,0.7767102219887447,-0.6759889721628625,0.8238434163701067,False
4.0,2,SPMe_prefix_forecast,prefix_fit,0.022130922035141293,-0.006873440557089363,0.17359749482417972,0.02463408859290015,1.0,True
4.0,2,SPMe_prefix_forecast,suffix_forecast,0.15043422276170856,-0.11567309342455381,0.7767102219887447,-0.6759889721628625,0.8238434163701067,False
4.0,2,SPM_same_parameters,full,0.028138725825185996,0.018444609647447933,0.745157147115687,-0.6122833418150216,1.0,True
4.0,2,SPM_same_parameters,early_0_20pct,0.021498314712549777,-0.011100147015575877,0.27315848418901917,-0.1376273872330462,1.0,True
4.0,2,SPM_same_parameters,middle_20_80pct,0.031283123000767805,0.028274972346307797,0.6196118246358151,-0.5950052538426386,1.0,True
4.0,2,SPM_same_parameters,late_80_100pct,0.02369652923546737,0.018533261711041114,1.2447144733410689,-1.138712072456594,1.0,True
4.0,2,SPM_same_parameters,prefix_fit,0.029144549231888767,0.01842242689600565,0.5536462253318201,-0.4805589666500335,1.0,True
4.0,2,SPM_same_parameters,suffix_forecast,0.02369652923546737,0.018533261711041114,1.2447144733410689,-1.138712072456594,1.0,True
4.0,3,SPMe_full_fit,full,0.025221017098686627,-0.0056060874584957865,0.4116279959556745,-0.023140315606932724,1.0,True
4.0,3,SPMe_full_fit,early_0_20pct,0.035683418081260194,-0.032261028208041484,0.14493016697968433,-0.03187050509946895,1.0,True
4.0,3,SPMe_full_fit,middle_20_80pct,0.015051259027971456,-0.0013159375064681234,0.3752607326136357,0.03867854910053391,1.0,True
4.0,3,SPMe_full_fit,late_80_100pct,0.03500398101608012,0.008202415468280514,0.6352647164202615,-0.1995207191283591,1.0,True
4.0,3,SPMe_full_fit,prefix_fit,0.022104265789772638,-0.009063050358426705,0.3329034086313346,0.02101657196312077,1.0,True
4.0,3,SPMe_full_fit,suffix_forecast,0.03500398101608012,0.008202415468280514,0.6352647164202615,-0.1995207191283591,1.0,True
4.0,3,SPMe_prefix_forecast,full,0.027125506042834292,-0.0009188182204451426,0.6237298706244301,-0.21056245936129897,1.0,True
4.0,3,SPMe_prefix_forecast,early_0_20pct,0.03451302402006232,-0.0306519766023056,0.1968693872704827,0.17025874564959845,1.0,True
4.0,3,SPMe_prefix_forecast,middle_20_80pct,0.014961489457561093,0.002841831847213977,0.1482418511443048,-0.028412694015072012,1.0,True
4.0,3,SPMe_prefix_forecast,late_80_100pct,0.04258418354882679,0.017553438372995733,1.3558966788853914,-1.1368134654555813,1.0,True
4.0,3,SPMe_prefix_forecast,prefix_fit,0.0215872805476886,-0.005543353266724599,0.1617930854432114,0.021324761220922084,1.0,True
4.0,3,SPMe_prefix_forecast,suffix_forecast,0.04258418354882679,0.017553438372995733,1.3558966788853914,-1.1368134654555813,1.0,True
4.0,3,SPM_same_parameters,full,0.03050901654697148,0.018288307686937948,0.7220994191724232,-0.5503955319168367,1.0,True
4.0,3,SPM_same_parameters,early_0_20pct,0.01769107313956444,-0.00795859816022645,0.24682017605341322,-0.14587818338703112,1.0,True
4.0,3,SPM_same_parameters,middle_20_80pct,0.02710720125788894,0.022693019481153,0.5443750978557454,-0.49811758416159363,1.0,True
4.0,3,SPM_same_parameters,late_80_100pct,0.04621177653978149,0.031345731389111384,1.2868275410164556,-1.1114541232585171,1.0,True
4.0,3,SPM_same_parameters,prefix_fit,0.025083780017518084,0.015019377698911342,0.48724302489639926,-0.4099343432390502,1.0,True
4.0,3,SPM_same_parameters,suffix_forecast,0.04621177653978149,0.031345731389111384,1.2868275410164556,-1.1114541232585171,1.0,True
5.0,1,SPMe_full_fit,full,0.02066056289856414,-0.00436493424488906,0.40758590389237465,-0.00961133462534159,0.999664654594232,False
5.0,1,SPMe_full_fit,early_0_20pct,0.037937410896857905,-0.033852689508163475,0.16773203113202712,-0.02285400448689058,1.0,True
5.0,1,SPMe_full_fit,middle_20_80pct,0.013233192097382735,0.0011723350206025514,0.3429562112415027,0.05846664748828975,1.0,True
5.0,1,SPMe_full_fit,late_80_100pct,0.01296134227415047,0.008560489321345541,0.6707249459346518,-0.20058039185995247,0.998324958123953,False
5.0,1,SPMe_full_fit,prefix_fit,0.022170866949436496,-0.007594935270245799,0.30857671780956114,0.038110911962426997,1.0,True
5.0,1,SPMe_full_fit,suffix_forecast,0.01296134227415047,0.008560489321345541,0.6707249459346518,-0.20058039185995247,0.998324958123953,False
5.0,1,SPMe_prefix_forecast,full,0.07586119560823724,-0.028485661037286,0.31291284158661065,-0.07220444250743045,0.9426559356136821,False
5.0,1,SPMe_prefix_forecast,early_0_20pct,0.036714471271666715,-0.031446694308220474,0.18835324762388067,0.14553893560558614,1.0,True
5.0,1,SPMe_prefix_forecast,middle_20_80pct,0.010305059825408214,0.001972865147204134,0.14079326663347302,-0.02296129126829871,1.0,True
5.0,1,SPMe_prefix_forecast,late_80_100pct,0.18878459799772795,-0.1521760552981322,0.7163658710475823,-0.5840343747821687,0.7135678391959799,False
5.0,1,SPMe_prefix_forecast,prefix_fit,0.020421172436357313,-0.006392534012078251,0.15408185202881008,0.019216752942900144,1.0,True
5.0,1,SPMe_prefix_forecast,suffix_forecast,0.18878459799772795,-0.1521760552981322,0.7163658710475823,-0.5840343747821687,0.7135678391959799,False
