time_s,voltage_V,temperature_C
0.0,4.1145,24.8
1.0,4.1145,24.8
2.0,4.1083,24.8
3.0,4.1037,24.8
4.0,4.0997,24.7
5.0,4.0966,24.8
6.0,4.0935,24.8
7.0,4.0907,24.8
8.0,4.0882,24.9
9.0,4.086,24.7
10.0,4.0838,24.8
11.0,4.0817,24.8
12.0,4.0801,24.7
13.0,4.0783,24.7
14.0,4.0767,24.8
15.0,4.0749,24.7
16.0,4.0733,24.7
17.0,4.0718,24.7
18.0,4.0705,24.7
19.0,4.069,24.7
20.0,4.0674,24.7
21.0,4.0662,24.8
22.0,4.0649,24.8
23.0,4.0637,24.7
24.0,4.0625,24.7
25.0,4.0612,24.8
26.0,4.0597,24.9
27.0,4.0587,24.8
28.0,4.0578,24.8
29.0,4.0566,24.7
30.0,4.0559,25.0
31.0,4.0547,24.9
32.0,4.0538,24.9
33.0,4.0528,24.9
34.0,4.0516,24.9
35.0,4.0507,24.8
36.0,4.0497,24.9
37.0,4.0488,24.9
38.0,4.0479,24.8
39.0,4.0473,24.7
40.0,4.0463,24.8
41.0,4.0454,24.7
42.0,4.0448,24.9
43.0,4.0435,24.9
44.0,4.0429,24.9
45.0,4.0423,24.9
46.0,4.0414,24.7
47.0,4.0407,24.9
48.0,4.0398,24.7
49.0,4.0392,24.9
50.0,4.0386,24.7
51.0,4.0376,24.7
52.0,4.037,24.7
53.0,4.0364,24.9
54.0,4.0355,24.8
55.0,4.0345,24.7
56.0,4.0339,24.7
57.0,4.0336,24.7
58.0,4.033,24.8
59.0,4.0321,24.7
60.0,4.0314,24.9
61.0,4.0308,24.7
62.0,4.0302,24.8
63.0,4.0296,24.8
64.0,4.0293,24.7
65.0,4.0283,24.9
66.0,4.028,24.9
67.0,4.0271,24.7
68.0,4.0265,24.7
69.0,4.0259,24.9
70.0,4.0256,24.8
71.0,4.0249,24.9
72.0,4.0246,24.9
73.0,4.024,24.7
74.0,4.0234,24.9
75.0,4.0228,24.9
76.0,4.0225,24.9
77.0,4.0218,24.9
78.0,4.0215,24.9
79.0,4.0209,24.9
80.0,4.0203,24.9
81.0,4.02,24.9
82.0,4.019,24.9
83.0,4.0187,24.9
84.0,4.0181,24.9
85.0,4.0178,24.9
86.0,4.0172,24.9
87.0,4.0166,24.9
88.0,4.0163,25.2
89.0,4.0159,24.9
90.0,4.0156,24.9
91.0,4.015,24.9
92.0,4.0147,25.0
93.0,4.0144,24.9
94.0,4.0138,24.9
95.0,4.0135,24.9
96.0,4.0128,24.9
97.0,4.0125,25.0
98.0,4.0116,25.0
99.0,4.0116,24.9
100.0,4.011,24.9
101.0,4.0107,24.9
102.0,4.0104,24.9
103.0,4.0101,24.9
104.0,4.0094,25.1
105.0,4.0091,24.9
106.0,4.0088,25.0
107.0,4.0085,24.9
108.0,4.0082,25.0
109.0,4.0079,25.0
110.0,4.0073,24.9
111.0,4.007,24.9
