episode,environment_steps,epsilon,reward,loss,charging_target_reached,charge_phase_constraints_satisfied,failure_reason,initial_soc,elapsed_wall_s
1,38,0.5,-145.9919583844824,,True,False,,"[0.1, 0.2, 0.3]",12.816849700000603
2,73,0.49964375,-212.615543337648,,True,False,,"[0.3, 0.5, 0.7]",23.84861430000001
3,112,0.499315625,-247.597188004045,,True,False,,"[0.20504336472595097, 0.11185774668732996, 0.5061029358935236]",37.712185899999895
4,151,0.49895,-212.43588653935043,,True,False,,"[0.21558032736681548, 0.4035457972594211, 0.14497732303202765]",52.141326500000105
5,194,0.498584375,-193.95874065774856,4.6428961753845215,True,False,,"[0.1, 0.2, 0.3]",66.74654259999988
6,242,0.49818125,-281.5029905397617,3.809520721435547,True,False,,"[0.3, 0.5, 0.7]",80.02937670000028
7,278,0.49773125,-231.19619181205695,3.9378135204315186,True,False,,"[0.17568645746169254, 0.5647175215990091, 0.29559678396418865]",91.61350380000022
8,329,0.49739375,-253.6328527711324,3.633809804916382,True,False,,"[0.5488077092733465, 0.3897114472027201, 0.15897728752485943]",107.06184140000005
9,389,0.496915625,-373.21398598571636,2.785583257675171,False,False,,"[0.1, 0.2, 0.3]",126.87413389999983
10,446,0.496353125,-314.2985896251265,2.994779348373413,True,False,,"[0.3, 0.5, 0.7]",143.43256340000062
11,483,0.49581875,-2274.5683399935897,8326.568359375,False,False,event: Maximum voltage [V],"[0.6866924623421491, 0.2922236407929637, 0.49539370330677746]",156.89783970000008
12,525,0.495471875,-278.81511544554184,7642.2255859375,True,False,,"[0.7023419137811894, 0.465710074097918, 0.2035209132539057]",170.37176670000008
13,585,0.495078125,-336.40880594663156,6843.4501953125,False,False,,"[0.1, 0.2, 0.3]",188.54248499999994
14,627,0.494515625,-239.0921298891908,6372.67626953125,True,False,,"[0.3, 0.5, 0.7]",202.20157300000028
15,683,0.494121875,-407.18034986565107,5839.82568359375,True,False,,"[0.2744949991505406, 0.18077386560583603, 0.6670527697612295]",219.08503350000046
16,743,0.493596875,-582.3068969513987,5359.310546875,False,False,,"[0.1238409906185031, 0.6918906373333122, 0.7171826215250795]",234.35455449999972
17,803,0.493034375,-226.2952358519153,4938.60498046875,False,False,,"[0.1, 0.2, 0.3]",252.37945540000055
18,847,0.492471875,-278.44057796396464,,True,False,,"[0.3, 0.5, 0.7]",265.9325189000001
19,883,0.492059375,-139.61591306937254,4482.94970703125,True,False,,"[0.6312721017992893, 0.5609548082076997, 0.7207457611613769]",278.4032041999999
20,943,0.491721875,-280.29153122946167,4187.40380859375,False,False,,"[0.2538649076446289, 0.20518247202033013, 0.4902918261838456]",300.6848651
21,1003,0.491159375,-312.40589826352834,3912.643798828125,False,False,,"[0.1, 0.2, 0.3]",327.61659000000054
22,1019,0.490596875,-2150.4261152125655,,False,False,event: Maximum voltage [V],"[0.3, 0.5, 0.7]",337.79325340000014
23,1043,0.490446875,-2194.2102852708463,,False,False,event: Maximum voltage [V],"[0.6762735799894241, 0.49775979259140013, 0.1707377569468005]",350.3499300000003
24,1092,0.490221875,-326.4160839074837,10899.0751953125,True,False,,"[0.622332570646235, 0.36899621604480715, 0.194940368016349]",371.8287280000004
25,1141,0.4897625,-200.34624325632524,10399.212890625,True,False,,"[0.1, 0.2, 0.3]",391.45771950000017
26,1182,0.489303125,-232.24553394722787,10010.3046875,True,False,,"[0.3, 0.5, 0.7]",408.1377760000005
27,1224,0.48891875,-177.3748517568603,9641.7529296875,True,False,,"[0.28334626638350036, 0.5302711951641278, 0.4139059490170185]",425.7229855000005
28,1271,0.488525,-155.04135781078466,9264.3701171875,True,False,,"[0.20809418386185918, 0.29120030307288847, 0.2943855141735904]",445.6644092000006
29,1317,0.488084375,-165.38936520471984,8922.7666015625,True,False,,"[0.1, 0.2, 0.3]",465.5051119999998
30,1347,0.487653125,-171.93360729585655,,True,False,,"[0.3, 0.5, 0.7]",478.76455840000017
31,1383,0.487371875,-233.27515979787924,8481.1884765625,True,False,,"[0.1982334264802021, 0.6241347570957911, 0.45268727569689227]",494.032459
32,1425,0.487034375,-125.60376291274154,8217.48046875,True,False,,"[0.24540044685938497, 0.2967853087040848, 0.29107952287848204]",511.2085302000005
33,1483,0.486640625,-212.39763914307284,8191.24462890625,True,False,,"[0.1, 0.2, 0.3]",530.7854050000005
34,1521,0.486096875,-201.81330372085262,8261.1220703125,True,False,,"[0.3, 0.5, 0.7]",544.4739031999998
35,1561,0.485740625,-193.13568558624587,5374.5947265625,True,False,,"[0.31823428614671134, 0.39720569411408857, 0.5570263029121892]",560.7014079999999
36,1591,0.485365625,-98.20685734850588,,True,False,,"[0.5866496562260133, 0.33771277710232706, 0.5787196175207038]",573.8003585000006
37,1638,0.485084375,-193.97662312137095,8191.92626953125,True,False,,"[0.1, 0.2, 0.3]",593.5746659000006
38,1686,0.48464375,-303.49113349282385,5544.8193359375,True,False,,"[0.3, 0.5, 0.7]",609.1892622000005
39,1709,0.48419375,-2084.3051792695887,8339.5751953125,False,False,event: Maximum voltage [V],"[0.5116546180632229, 0.5943745762955605, 0.4310280140858882]",620.6789770000005
40,1754,0.483978125,-118.79854007396791,11365.3798828125,True,False,,"[0.33114330588252666, 0.1696372429810897, 0.16504234091780262]",637.9747388000005
41,1807,0.48355625,-278.76321395113706,10887.5703125,True,False,,"[0.1, 0.2, 0.3]",658.1717452000003
42,1858,0.483059375,-358.1301707873798,5238.68408203125,True,False,,"[0.3, 0.5, 0.7]",674.9494480000003
43,1893,0.48258125,-217.3020181383892,,True,False,,"[0.6371974866131072, 0.18835050863630004, 0.6007008161237476]",688.6966425999999
44,1947,0.482253125,-319.8423485950471,5407.3818359375,True,False,,"[0.20981408791019707, 0.12483722528883567, 0.4116608103759931]",707.9766234999997
45,2007,0.481746875,-359.2461058139456,2662.480224609375,False,False,,"[0.1, 0.2, 0.3]",729.7624340000002
46,2056,0.481184375,-336.92775087295394,5060.44873046875,True,False,,"[0.3, 0.5, 0.7]",745.1673950000004
47,2099,0.480725,-284.2245715982985,,True,False,,"[0.550063152327324, 0.10935688299690484, 0.1426979314425496]",760.2808601000006
48,2131,0.480321875,-159.22522110865992,2733.416748046875,True,False,,"[0.4060000487447193, 0.6844812231999094, 0.32884372609740176]",774.3966096000004
49,2180,0.480021875,-211.51236349828702,7769.28564453125,True,False,,"[0.1, 0.2, 0.3]",792.8643545000004
50,2218,0.4795625,-241.65382227566326,11409.865234375,True,False,,"[0.3, 0.5, 0.7]",807.5610889
51,2251,0.47920625,-34.13438808074586,5471.71923828125,True,False,,"[0.3881250741468085, 0.2942355106362235, 0.3445352749728888]",820.6824668999998
52,2292,0.478896875,-307.10876289488846,,True,False,,"[0.10727622907229584, 0.4180511503315112, 0.6751993789919638]",835.9275564999998
53,2335,0.4785125,-184.0022643699497,2707.63525390625,True,False,,"[0.1, 0.2, 0.3]",853.9351733000003
54,2371,0.478109375,-197.15987229476661,8000.03466796875,True,False,,"[0.3, 0.5, 0.7]",869.249033
