episode,environment_steps,epsilon,reward,loss,charging_target_reached,charge_phase_constraints_satisfied,failure_reason,initial_soc,elapsed_wall_s
1,39,0.5,-126.63863479575198,,True,True,,"[0.1, 0.2, 0.3]",78.17981200000213
2,72,0.499634375,-167.1568086321677,,True,True,,"[0.3, 0.5, 0.7]",149.89170300000114
3,111,0.499325,-229.8085121752531,,True,True,,"[0.20504336472595097, 0.11185774668732996, 0.5061029358935236]",234.0801872000011
4,150,0.498959375,-177.07757872442957,,True,True,,"[0.21558032736681548, 0.4035457972594211, 0.14497732303202765]",311.34889660000044
5,189,0.49859375,-146.89782465261922,3.6814210414886475,True,True,,"[0.1, 0.2, 0.3]",390.46051199999783
6,245,0.498228125,-315.51695202076246,4.076913356781006,True,True,,"[0.3, 0.5, 0.7]",504.16075770000316
7,277,0.497703125,-161.3963009778153,3.212496280670166,True,True,,"[0.17568645746169254, 0.5647175215990091, 0.29559678396418865]",585.6851279999973
8,312,0.497403125,-185.82445084505807,3.443587064743042,True,True,,"[0.5488077092733465, 0.3897114472027201, 0.15897728752485943]",663.6518998999964
9,358,0.497075,-128.45716221499094,2.7712950706481934,True,True,,"[0.1, 0.2, 0.3]",751.6993700000021
10,398,0.49664375,-219.5361017487817,,True,True,,"[0.3, 0.5, 0.7]",837.4667534999971
11,447,0.49626875,-110.41457565789727,2.938624382019043,True,True,,"[0.280709298650612, 0.24472184976234732, 0.28784414680246884]",930.1435749000011
12,496,0.495809375,-263.4045645678445,2.6007509231567383,True,True,,"[0.2655242222002041, 0.12231213119523555, 0.5969658328765163]",1032.196826200001
13,540,0.49535,-102.80745833065646,2.562588691711426,True,True,,"[0.1, 0.2, 0.3]",1111.616449699999
14,580,0.4949375,-221.90698761424224,2.4288785457611084,True,True,,"[0.3, 0.5, 0.7]",1194.936196900002
15,623,0.4945625,-258.5402100515143,3.1375606060028076,True,True,,"[0.6660860353515579, 0.4755309150704705, 0.17948775931444116]",1287.9333821999971
16,654,0.494159375,-60.046938404825376,2.727351665496826,True,True,,"[0.39637979270660684, 0.5940965171039787, 0.5207389871802597]",1350.8732508999965
17,714,0.49386875,-252.28681763525248,2.5623397827148438,True,True,,"[0.1, 0.2, 0.3]",1466.6744829000017
