episode,environment_steps,epsilon,reward,loss,charging_target_reached,charge_phase_constraints_satisfied,failure_reason,initial_soc,elapsed_wall_s
1,114,0.5,-130.74518685711936,,True,False,,"[0.1, 0.2, 0.3]",32.03631950000272
2,203,0.47435,-163.8724786361911,,True,False,,"[0.3, 0.5, 0.7]",56.90662599999996
3,314,0.454325,-243.94193663387998,,True,False,,"[0.20504336472595097, 0.11185774668732996, 0.5061029358935236]",87.78497410000273
4,430,0.42935,-175.63874310271467,,True,False,,"[0.21558032736681548, 0.4035457972594211, 0.14497732303202765]",119.69643470000301
5,547,0.40325,-141.93528846473797,0.20606642961502075,True,False,,"[0.1, 0.2, 0.3]",152.7675584000026
6,727,0.37692499999999995,-460.38247761504476,0.234847292304039,False,False,,"[0.3, 0.5, 0.7]",190.95522130000245
7,827,0.336425,-53.075152300240134,0.26165756583213806,True,False,,"[0.4879098087145435, 0.3619407845980437, 0.4486695123237331]",220.73394120000012
8,1007,0.313925,-543.1948253465489,0.3271368741989136,False,False,,"[0.20932946257854695, 0.6294807975066025, 0.13098289225675017]",261.13851670000076
9,1139,0.27342500000000003,-187.53251862387833,0.28126001358032227,True,False,,"[0.1, 0.2, 0.3]",446.1685240000006
10,1252,0.24372499999999997,-232.8089483482658,0.21851150691509247,True,False,,"[0.3, 0.5, 0.7]",471.95130450000215
11,1370,0.2183,-291.7255285006446,0.20374183356761932,True,False,,"[0.29365431751198295, 0.1160069107752855, 0.749013820943579]",500.7967157000021
12,1449,0.19174999999999998,-63.16617105903787,0.22314956784248352,True,False,,"[0.6312721017992893, 0.5609548082076997, 0.7207457611613769]",524.5200036000024
13,1594,0.173975,-92.08215150027686,0.25572142004966736,True,False,,"[0.1, 0.2, 0.3]",565.7115769000011
14,1724,0.14134999999999998,-239.73966376513982,0.19671708345413208,True,False,,"[0.3, 0.5, 0.7]",597.7604393000001
15,1904,0.11209999999999998,-484.1113089634133,0.3170766830444336,False,False,,"[0.5222122153812255, 0.29290498184142555, 0.13157423402033147]",643.9377363000021
16,2030,0.0716,-151.56556055741697,0.23098242282867432,True,False,,"[0.32471096016814155, 0.26230478372181504, 0.5614404049182958]",678.1877538000008
17,2190,0.04999999999999999,-137.53317135497463,0.23311634361743927,True,False,,"[0.1, 0.2, 0.3]",1043.0064201000023
18,2322,0.04999999999999999,-239.40612576879317,0.22489675879478455,True,False,,"[0.3, 0.5, 0.7]",1076.8411847999996
19,2483,0.04999999999999999,-163.13472707168518,0.22433672845363617,True,False,,"[0.14436404754994897, 0.24540044685938497, 0.2967853087040848]",1119.6315405000023
20,2500,0.04999999999999999,-38.750141747687955,0.19987452030181885,False,True,,"[0.7073833485400434, 0.4259008578374157, 0.35177823655726226]",1127.8914053000008
