episode,environment_steps,epsilon,reward,loss,charging_target_reached,charge_phase_constraints_satisfied,failure_reason,initial_soc,elapsed_wall_s
1,116,0.5,-116.13905460881675,,True,True,,"[0.1, 0.2, 0.3]",146.7483014999998
2,210,0.4739,-149.77000801813142,,True,True,,"[0.3, 0.5, 0.7]",293.502748400002
3,322,0.45275,-216.96456450684866,,True,True,,"[0.20504336472595097, 0.11185774668732996, 0.5061029358935236]",438.9816659999997
4,443,0.42755,-196.37868807819123,,True,True,,"[0.21558032736681548, 0.4035457972594211, 0.14497732303202765]",594.5148833000021
5,563,0.400325,-123.34842462311006,0.2381271868944168,True,True,,"[0.1, 0.2, 0.3]",733.9173381
6,656,0.373325,-148.14128378751417,0.24076195061206818,True,True,,"[0.3, 0.5, 0.7]",853.4641468000009
7,774,0.3524,-165.88967603396975,0.17342939972877502,True,True,,"[0.2922236407929637, 0.49539370330677746, 0.6382268292276222]",1010.3488862000013
8,887,0.32585,-265.4160205960393,0.17824962735176086,True,True,,"[0.56907474880237, 0.6512135060954077, 0.15042912271889172]",1153.0119790000026
9,1014,0.300425,-166.87046011862358,0.11109017580747604,True,True,,"[0.1, 0.2, 0.3]",1299.598821800002
10,1119,0.27185,-180.5891536912601,0.0770828127861023,True,True,,"[0.3, 0.5, 0.7]",2621.746437400001
11,1215,0.24822499999999997,-92.4258403975189,0.09785062819719315,True,True,,"[0.3129613489763343, 0.40388002538431556, 0.5181649970623472]",2753.2808879000004
12,1300,0.22662499999999997,-123.51280515661358,0.09269038587808609,True,True,,"[0.749013820943579, 0.7144286406149329, 0.40937909967462927]",2879.0888766000025
13,1407,0.20749999999999996,-92.20595090555567,0.1055574119091034,True,True,,"[0.1, 0.2, 0.3]",3012.005174400001
14,1491,0.183425,-125.28956667659276,0.10530855506658554,True,True,,"[0.3, 0.5, 0.7]",3144.0761703000026
15,1611,0.16452499999999998,-255.46939985253942,0.12519611418247223,True,True,,"[0.41158511245539864, 0.14218109243272964, 0.47841255481966294]",3313.4300764
16,1722,0.137525,-202.1411243049524,0.11314091831445694,True,True,,"[0.622332570646235, 0.36899621604480715, 0.194940368016349]",3471.5248557000014
17,1890,0.11254999999999998,-354.9316204908436,0.12159152328968048,True,True,,"[0.1, 0.2, 0.3]",3686.5315549000006
18,1970,0.07475000000000004,-120.68581843125342,0.10573282092809677,True,True,,"[0.3, 0.5, 0.7]",3808.5499592000015
19,2049,0.05675000000000002,-107.68248657332859,0.10566481202840805,True,True,,"[0.3127830669502789, 0.6011601741709581, 0.6348656814990085]",3932.072833000002
20,2145,0.04999999999999999,-131.84106544479718,0.10692107677459717,True,True,,"[0.18764036558501684, 0.5985110660379084, 0.34338082826204597]",5643.951578300002
21,2288,0.04999999999999999,-260.6978980975663,0.10449036210775375,True,True,,"[0.1, 0.2, 0.3]",5840.589769500002
22,2380,0.04999999999999999,-151.05334525060854,0.10841832309961319,True,True,,"[0.3, 0.5, 0.7]",5986.3022064
23,2482,0.04999999999999999,-117.97989714107311,0.09731700271368027,True,True,,"[0.5066400110171148, 0.4288141180506563, 0.31771497465169096]",6131.0941188
24,2500,0.04999999999999999,-46.16084491528218,0.09644769132137299,False,True,,"[0.7485469250968314, 0.5866496562260133, 0.33771277710232706]",6159.412561600002
